logical_identifier,title,name,description,alias_id,alias_title
urn:nasa:pds:context:telescope:eso-paranal.vlt_yepun_8m2_ut4,"Very Large Telescope (VLT) Unit Telescope 4 (UT4) Yepun, 8.2-m Telescope",," Unit Telescope 4 (Yepun) of the Very Large Telescope (VLT) at ESO's Paranal Observatory, Chile.             The telescope is one of four 8.2-m Ritchey-Chretien Cassegrain telescopes with a 22-tonne Zerdour primary              mirror of 14.4 m focal length, and a 1.1-m lightweight beryllium secondary mirror.                          The unit telescope has alt-azimuth mount. In such a mount the telescope tube moves around a horizontal axis              called elevation axis. The two bearings which support the tube are mounted on a fork rotating around a vertical              axis, called azimuth axis, thus allowing for pointing over the entire sky. The telescope tube itself consists              of a steel structure supporting at the bottom the primary mirror (M1) in its cell, and at the top the M2 Unit              by means of metallic beams called ""spiders"".                          The Very Large Telescope uses active optics.The optical quality of the image is continually monitored by an image              analyser using a reference star and the contributions of the various optical aberrations (defocus, astigmatism,              coma, etc.) are computed. To achieve the best optical quality, discrete correction commands are given to the primary              mirror support system, controlling the shape of the thin flexible M1,and to the M2 Unit, which controls the position              of the M2 mirror along 5 degrees of freedom, namely one for focusing,two for centering, and two for pointing.              The M2 mirror itself is configured as a rigid lightweight convex hyperboloid.                  Information from the ESO telescope website: http://www.eso.org/sci/facilities/paranal/telescopes/ut.html         ",,
urn:nasa:pds:context:telescope:flwo.2mass1m3,2MASS 1.3m Telescope,,"         The 2MASS 1.3m Telescope is a 1.3 m telescope located at 31.680780, 249.121860 at the Fred L. Whipple Observatory.                  The 2MASS project was carried out with two identical 1.3-meter aperture, open-tube, equatorial fork-mount telescopes. These telescopes have been provided with a Cassegrain focus mount for the infrared cameras and a secondary mirror, which is articulated in the declination direction.  The telescope described here is the northern hemisphere one, located at the Whipple Observatory in Arizona.  Primary Mirror: 1300 mm diameter, radius 5200 mm, conic constant -1.000 Secondary Mirror: 232 mm diameter, radius 965.7 mm, conic constant -1.847  The telescopes were designed, manufactured, and installed by M3 Engineering and Technology Corp., Tucson, AZ. The optics were figured by Rayleigh Optical Corp., Baltimore, MD. The telescope control system software was provided by Comsoft, Tucson, AZ. After the completion of the 2MASS data-taking, the University of Massachusetts donated the telescopes to the host observatories.         ",,
urn:nasa:pds:context:telescope:fremonte_peak.fpo0m32,FPO 0.32m,,"         The FPO 0.32m is a 0.32 m telescope located at 36.760277, 238.501389 at the Fremont Peak Observatory.                  Observatory details can be found at: http://www.fpoa.net/         ",,
urn:nasa:pds:context:telescope:gbo.gbt_100m,Robert C. Byrd Green Bank Telescope,,"             The Robert C. Byrd Green Bank Telescope (GBT) is located in Green Bank,              West Virginia. The GBT is a parabolic dish covering 2.3 acres. The GBT              has the largest collecting area of any fully-steerable telescope in the              world.                          From the base to the top of its huge feed arm, the GBT stands 485 feet              tall. Its 100-meter by 110-meter dish required 7,652 beams to support it              on top of a nearly hemispherical tilting gear. A gigantic yoke cradles              that gear above a base of concrete sunk 25 feet down to solid Appalachian              bedrock.                          Over 17 million pounds of telescope glide around its 360-degree concrete              track, thanks to four four-wheeled trucks, making the GBT the largest              moving object on land. Its remarkable agility allows it to see 85% of the              skies surrounding the Earth over the course of a year.                          Its 200-foot feed arm is a two-towered trusswork sticking out of the side              of the dish and ending in a secondary mirror perched 60 feet above the              dish. The secondary aims the dish's focused radio waves into one of eight              receivers hanging in a rotating turret. On the fly, a new receiver can be              spun into the beam to change the frequency being recorded. A ninth              receiver can swing out on a boom arm in place of the secondary, giving              astronomers a huge range of science they can pursue with one telescope.                          Scientists from around the world use the GBT to observe the skies for              6500 hours every year. The GBT's gigantic, unobstructed dish provides              scientists with sensitive eyes on the faintest radio objects in the              Universe.         ",,
urn:nasa:pds:context:telescope:gemini-south.8m1,Gemini Observatory (South) 8.1-meter Telescope,," Each mirror is an f/1.8, 8.1 m diameter, 20 cm thick meniscus, and weighs 22,200 kg. Each was              made from 55 blocks of low expansion (ULE-581) glass fused together at 1700 degrees C and slumped at Corning's              Canton, New York facility. Each mirror blank was then shipped to REOSC Optique in Paris, France, for polishing              of its reflecting surface to that of a concave hyperboloid. The measured surface accuracy is 15.6 nm (rms).                          Each secondary mirror is 1.0 m in diameter. Each was prefabricated by Schott from Zerodur and then polished by              Zeiss to a convex hyperbolic shape and lightweighted by 85%. The weight of each secondary is 54 kg. The rms surface              accuracies are 17 nm for the Gemini N mirror and 13 nm for the Gemini S mirror. Each secondary mirror is mounted on              a rapid tip-tilt and chopping mechanism designed and built by Lockheed. Tip-tilt correction is possible up to 200 Hz.              The chopping capabilities are: any position angle on the sky at frequencies up to 3 Hz; amplitudes up to 15 arcsec on              the sky; and a duty cycle of 87% at the above values.                          Science fold mirrors are plane mirrors at 45 degrees that reflect the converging beam near the Cassegrain focus of each              telescope to an instrument mounted on one of four side-looking ports of the Instrument Support Structure (ISS) or may be              retracted to allow the beam to reach the up-looking instrument on the bottom port of the ISS.                          The effective focal lengths of the telescopes at Cassegrain focus are 128.12 meters (f/16) with a plate scale of 1.610             arcsec/mm.                          Maximum 10 arcmin diameter on the bottom port, and 7 arcmin diameter on the side ports due to science fold mirror size.              Limiting factors on FOV are the diameter of the central openings of the WFS mounting rings in the WFS, the portholes in              the ISS, and the Science Fold Mirror diameter. PWFS can also vignette the beam - the PWFS can reach an outer radius = 7              arcmin before one edge of their field starts to be vignetted (the 14 arcmin diameter is slightly larger than the              instrument FOV because the PWFS are upstream of the Science Fold and ISS ports).                           Gemini has permanently installed baffles that are deployable with two positions - IR and Optical. They do not allow use              of the full 7.5 arcmin field without vignetting. The Optical mode (extended) works at 12.0 arcmin, with extended diameter              2003 mm. The IR mode (retracted) works at 3.5 arcmin with retracted diameter 1124.6 mm. There is also a sky periscope at              the center of the secondary mirror for IR instruments to see sky rather than the primary's central obstruction. This              periscope is shuttered for optical instruments.                           Information from the Gemini telescope website: http://www.gemini.edu/sciops/telescopes-and-sites/optics         ",,
urn:nasa:pds:context:telescope:gemini_north-maunakea.8m1,8.1-m Gemini Ritchey-Chretien altazimuth reflector,,"The information is adapted from the Gemini website.  The Gemini Observatory consists of twin 8.1-meter diameter optical/infrared telescopes located on two of the best observing sites on the planet. From their locations on mountains in Hawai'i and Chile, Gemini Observatory's telescopes can collectively access the entire sky.  The Frederick C. Gillett Gemini North telescope is located on Hawaii's Mauna Kea as part of the international community of observatories built to take advantage of the superb atmospheric conditions on this long dormant volcano which rises about 4,214 meters (13,824 feet) into the dry, stable air of the Pacific.   Primary Mirror: Diameter: 8.1 meters/26.58 feet/319 inches Mass: 22.22 metric tonnes/24.5 U.S. tons Composition: Corning Ultra-Low Expansion (ULE) Glass Surface Accuracy: 15.6 nm RMS (Between 1/1000 - 1/10,000 thickness of human hair)",,
urn:nasa:pds:context:telescope:goldstone.dss11_26m,DSS 11 Radio Telescope,,"             Pioneer Station (DSS-11), a 26 meter polar mounted antenna, was the first deep space             antenna to be constructed at Goldstone. Completed in December 1958, in time to support the              Pioneer 3 mission, DSS-11 became the prototype antenna for the Deep Space Network (DSN)             and went on to track a variety of NASA spacecraft including all Pioneers, the Echo balloons,             and the Ranger, Lunar Orbiter, Surveyor, Apollo, Helios, Mariner, Viking, and Voyager             spacecraft. A Manned Space Flight wing was built at the Pioneer site to support the manned              space flights of the Apollo program. DSS-11 was officially mothballed in 1981 and was              declared a National Historic Monument as the first deep space antenna in the DSN in 1985.             Antenna coordinates are approximate; they were interpolated from coordinates for DSS-13             and DSS-14 in Table 5 of module 301 (revision L) of the DSN Telecommunications Link Design             Handbook (DSN document 810-005) using the map at https://www.gdscc.nasa.gov/?page_id=37         ",,
urn:nasa:pds:context:telescope:goldstone.dss12_26m,DSS-12 26-m Radio Telescope,,"             Echo Station (DSS-12) is currently the administrative center for the Goldstone Deep Space             Communications Complex (GDSCC).  Built in 1959 with a 26-m aperture, DSS-12 is named for              early experiments performed with the passive balloon satellite, Echo 1.  The antenna is              polar mounted, was upgraded to a 34-m aperture in 1979, and was capable of simultaneously              operating at both S- and X-band frequencies.  For 37 years, DSS-12 supported many spacecraft              including the early Ranger and Surveyor missions to the Moon, deep space missions such as              Pioneer and Voyager, and high Earth orbiting spacecraft.  Antenna coordinates              are approximate; they were interpolated from coordinates for DSS-13 and DSS-14 in Table 5             of module 301 (revision L) of the DSN Telecommunications Link Design Handbook (DSN document             810-005) using the map at https://www.gdscc.nasa.gov/?page_id=37         ",,
urn:nasa:pds:context:telescope:goldstone.dss12_34m,DSS-12 34-m Radio Telescope,,"             Echo Station (DSS-12) is currently the administrative center for the Goldstone Deep Space             Communications Complex (GDSCC).  Built in 1959 with a 26-m aperture, the station is named              for early experiments performed with the passive balloon satellite, Echo 1.  The antenna              is polar mounted, was upgraded to a 34-m aperture in 1979, and was capable of simultaneously             operating at both S- and X-band frequencies.  For 37 years, DSS-12 supported many spacecraft              including the early Ranger and Surveyor missions to the Moon, deep space missions such as              Pioneer and Voyager, and high Earth orbiting spacecraft. In 1996 the antenna was removed              from DSN operations and used in an educational outreach project between NASA's Jet Propulsion              Laboratory and the Lewis Center for Educational Research.  In 2012 the antenna was              decommissioned.  Antenna coordinates are approximate; they were interpolated from coordinates             for DSS-13 and DSS-14 in Table 5 of module 301 (revision L) of the DSN Telecommunications              Link Design Handbook (DSN document 810-005) using the map at https://www.gdscc.nasa.gov/?page_id=37         ",,
urn:nasa:pds:context:telescope:goldstone.dss13_26m,DSS-13 26-m Radio Telescope,,"            This fully steerable telescope was a research and development radio/radar antenna that            was part of the NASA Deep Space Network.  It was first operational in 1962 with a 26-m            aperture and was named ""Venus Station"" to commemorate the first radar detection of Venus            by radar facilities at Goldstone in 1961.  The 26-m antenna was decommissioned in 1991.            Its cordinates are not known. A 34-m beam waveguide (BWG) antenna was completed in 1991            at the same general location.  It was given the DSS-13 identifier and was used to             contnue research and development work at higher frequencies.          ",,
urn:nasa:pds:context:telescope:goldstone.dss13_34m,DSS-13 34-m Radio Telescope,,"            This fully steerable telescope is a research and development radio/radar antenna that            is part of the NASA Deep Space Network.  It was first operational in 1962 with a 26-m            aperture and was named ""Venus Station"" to commemorate the first radar detection of Venus            by radar facilities at Goldstone in 1961; the 26-m antenna was decommissioned in 1991.            A 34-m beam waveguide (BWG) antenna was completed that year to facilitate development work            at higher frequencies. DSS-13 has been used occasionally in conjunction with the Goldstone            Solar System Radar for radar interferometry. Antenna coordinates were converted from             Table 5 in module 301 (revision L) of the DSN Telecommunications Link Design Handbook             (DSN document 810-005) and apply to the 34-m BWG antenna as used since 1991.         ",,
urn:nasa:pds:context:telescope:goldstone.dss14_64m,DSS-14 64-m Radio Telescope,,"            This fully steerable telescope is a parabolic radio/radar antenna that is part of the NASA            Deep Space Network (DSN). DSS-14 was first operational in 1964 with a 64-m aperture, supporting            the Mariner 4 flyby of Mars; as a result, it was subsequently known as ""Mars Station"".            Its aperture was extended to 70-m in 1988 to support the Voyager 2 encounter with            Neptune.  The 64-m antenna could receive at frequencies between about 1.6 and 8.6 GHz in left-circular            polarization (LCP); over 2.0-8.6 GHz it could receive simultaneously in both LCP and right-circular            polarization (RCP). It could transmit up to 20 kW at selected frequencies in the 2-8 GHz range.              DSS-14 was used occasionally as part of the Goldstone Solar System Radar, which has more powerful            transmitters. Antenna coordinates were converted from Table 5 in module 301 (revision L) of             the DSN Telecommunications Link Design Handbook (DSN document 810-005).         ",,
urn:nasa:pds:context:telescope:goldstone.dss14_70m,DSS-14 70-m Radio Telescope,,"            This fully steerable telescope is a parabolic radio/radar antenna that is part of the NASA            Deep Space Network (DSN). DSS-14 was first operational in 1964 with a 64-m aperture, supporting            the Mariner 4 flyby of Mars; as a result, it was subsequently known as ""Mars Station"".            Its aperture was extended to 70-m in 1988 to support the Voyager 2 encounter with            Neptune.  The antenna can receive at frequencies between about 1.6 and 8.6 GHz in left-circular            polarization (LCP); over 2.0-8.6 GHz it can receive simultaneously in both LCP and right-circular            polarization (RCP). It can transmit up to 20 kW at selected frequencies in the 2-8 GHz range.              DSS-14 is used occasionally as part of the Goldstone Solar System Radar, which has more powerful            transmitters. Antenna coordinates were converted from Table 5 in module 301 (revision L) of             the DSN Telecommunications Link Design Handbook (DSN document 810-005).         ",,
urn:nasa:pds:context:telescope:goldstone.dss15_34m,DSS-15 34-m Radio Telescope,,"            This fully steerable telescope iss a dual-shaped reflector radio antenna that was part of the             NASA Deep Space Network. It was part of the Goldstone Deep Space Communications Complex (GDSCC)            near Barstow, California (USA).  DSS 15 was first operational in the mid-1980s with a 34-m aperture;            it was decommissioned in May 2018.  When operational, the antenna could receive at frequencies            in the range 2.0-8.6 GHz in right- or left-circular polarization (but not simultaneously).            It could transmit 50-250 W at 2.1 GHz or up to 20 kW at 7.1 GHz. Antenna coordinates were             converted from Table 5 in module 301 (revision L) of the DSN Telecommunications Link Design             Handbook (DSN document 810-005). DSS-15 was sometimes known as ""Uranus Station"".            GDSCC is managed by the Jet Propulsion Laboratory (JPL) in Pasadena, CA.         ",,
urn:nasa:pds:context:telescope:goldstone.dss16_26m,DSS-16 Radio Telescope,,"             This 26-meter (85-ft.) diameter antenna was originally designed as part of the Manned Space Flight              Network (MSFN), managed by Goddard Space Flight Center. At the completion of the Apollo missions,             DSS-16 was designated a part of the Satellite Tracking and Data Network (STDN) and used              for tracking Earth orbiting satellites and for initial acquisition of any spacecraft immediately              after launch. It partnered with DSS-46 (near Canberra, Australia) and DSS-66 (near Madrid, Spain)             in a 26-m subnet for this purpose.  In the 1990s it provided communications with NASA's Space              Shuttle.  DSS-16 could transmit 50-2000 W at 2.1 GHz (S-band).  It could receive right- and              left-circularly polarized signals simultaneously at both 2.3 GHz and 8.4 GHz; its receiver could             combine the signals to obtain a rotatable linear polization. The antenna was completed in 1966              and remained part of NASA's tracking networks until the mid-2000s.          ",,
urn:nasa:pds:context:telescope:goldstone.dss23_34m,DSS-23 Radio Telescope,,            DSS-23 is a 34-m beam waveguide (BWG) antenna expected to become operational in 2024.  It will            transmit 20 kW at 7.1 GHz and receive right- and left-polarized signals at 8.4 and 32 GHz.            No coordinates are available for the antenna at this time.         ,,
urn:nasa:pds:context:telescope:goldstone.dss24_34m,DSS-24 Radio Telescope,,"            DSS-24 is one of three beam waveguide (BWG) antennas constructed between 1992 and 1996 in a cluster             at ""Apollo Valley"" within the Goldstone Deep Space Communications Complex (GDSCC). These antennas            were the first DSN operational antennas to utilize the BWG design that moves environmentally             sensitive electronic equipment into an underground pedestal, instead of a centrally mounted feed            cone structure. The use of the underground pedestal also allows for easier repair, maintenance,            and upgrades. DSS-24 operates at both S- and X-band (2 and 8 GHz, respectively) with 20 kW             transmitters on both bands. It can receive right- or left-circular polarization (RCP or LCP) at            S-band and simultaneous RCP and LCP at X-band.  Antenna coordinates were converted from Table 5            in module 301 (revision L) of the DSN Telecommunications Link Design Handbook (DSN document 810-005).         ",,
urn:nasa:pds:context:telescope:goldstone.dss25_34m,DSS-25 34-m Radio Telescope,,"            DSS-25 is one of three beam waveguide (BWG) antennas constructed between 1992 and 1996 in a cluster            at ""Apollo Valley"" within the Goldstone Deep Space Communications Complex (GDSCC) . These antennas            were the first DSN operational antennas to utilize the BWG design that moves environmentally             sensitive electronic equipment into an underground pedestal instead of a centrally mounted feed            cone structure. The use of the underground pedestal also allows for easier repair, maintenance,            and upgrades. DSS-25 operates at both X-band and Ka-band (8 and 34 GHz, respectively) with a 20            kw transmitter at X-band and a 300 W transmitter at Ka-band. DSS-25 can receive right- and             left-circular polarization (RCP and LCP, respectively) simultaneously on both bands. Antenna             coordinates were converted from Table 5 in module 301 (revision L) of the DSN Telecommunications            Link Design Handbook (DSN document 810-005).         ",,
urn:nasa:pds:context:telescope:goldstone.dss26_34m,DSS-26 34-m Radio Telescope,,"            DSS-26 is one of three beam waveguide (BWG) antennas constructed between 1992 and 1996 in a cluster            at ""Apollo Valley"" within the Goldstone Deep Space Communications Complex (GDSCC) . These antennas            were the first DSN operational antennas to utilize the BWG design that moves environmentally             sensitive electronic equipment into an underground pedestal instead of a centrally mounted feed            cone structure. The use of the underground pedestal also allows for easier repair, maintenance            and upgrades. DSS-26 operates at S-, X-, and Ka-band (2, 8, and 34 GHz, respectively).  On S-band             its transmitter radiates 250 W; it can receive either right- or left-circular polarization (RCP or            LCP, respectively).  On X-band, its transmitter is rated for 20 kW; it can receive RCP and LCP            simultaneously.  At Ka-band it can receive RCP and LCP simultaneously but not transmit. Antenna             coordinates were converted from Table 5 in module 301 (revision L) of the DSN Telecommunications            Link Design Handbook (DSN document 810-005).         ",,
urn:nasa:pds:context:telescope:goldstone.dss27_34m,DSS-27 34-m Radio Telescope,,"            DSS-27 is one of two high-speed beam waveguide (HSB) antennas constructed by the Jet Propulsion Laboratory            at the Goldstone Deep Space Communications Complex (GDSCC) for the U.S. Army; they were transferred to            NASA in 1994. The beam waveguide (BWG) design moves environmentally sensitive electronic equipment from a            cone at the reflector focus into a pedestal. The radio signal is guided from the subreflector through a             hole in the surface of the dish to the receiving equipment in the pedestal via a system of reflecting             mirrors inside a large tube. The reverse path allows transmission. The BWG design reduces weight on the             reflecting surface, provides insulation of electronics from environmental factors including dish movement,            and simplifies maintenance.  The HSB antenna differs from other BWG antennas in that the pedestal room is            above ground level (rather than underground), the optics design is different, and the subreflector does             not focus automatically for the purpose of maintaining gain as the elevation angle of the antenna changes.            The HSB antenna has higher tracking rates than do other BWG antennas; thus, it is an appropriate antenna            to use when tracking Earth-orbiting satellites.  DSS-27 was decommissioned in the mid-2010s.  When             operational it could transmit 50-200 W at 2.1 GHz and receive right- or left-circularly polarized signals            at 2.2 GHz.         ",,
urn:nasa:pds:context:telescope:goldstone.dss28_34m,DSS-28 34-m Radio Telescope,,"            DSS-28 is one of two high-speed beam waveguide (HSB) antennas constructed by the Jet Propulsion Laboratory            at the Goldstone Deep Space Communications Complex (GDSCC) for the U.S. Army; they were transferred to            NASA in 1994, and DSS-28 was subsequently re-purposed for science experiments under the Goldstone Apple Valley             Radio Telescope (GAVRT) project.  DSS-28 may never have been used for deep space radio tracking or science.            Station coordinates are approximate and have been inferred from those for DSS-27 which is nearby;            the DSS-27 coordinates are listed in Table 5, module 301 (revision L), DSN Telecommunications Link            Design Handbook (DSN document 810-005).                         The beam waveguide (BWG) design moves environmentally sensitive electronic equipment from a            cone at the reflector focus into a pedestal. The radio signal is guided from the subreflector through a             hole in the surface of the dish to the receiving equipment in the pedestal via a system of reflecting             mirrors inside a large tube. The reverse path allows transmission. The BWG design reduces weight on the             reflecting surface, provides insulation of electronics from environmental factors including dish movement,            and simplifies maintenance.  The HSB antenna differs from other BWG antennas in that the pedestal room is            above ground level (rather than underground), the optics design is different, and the subreflector does             not focus automatically for the purpose of maintaining gain as the elevation angle of the antenna changes.            The HSB antenna has higher tracking rates than do other BWG antennas; thus, it is an appropriate antenna            to use when tracking Earth-orbiting satellites.  When operational DSS-28 may have transmitted 50-200 W             at 2.1 GHz and received right- or left-circularly polarized signals         ",,
urn:nasa:pds:context:telescope:goodricke-pigott.orion_astroview,Orion Astroview 120ST EQ,,"         The Orion Astroview 120ST EQ is a 12 cm telescope located at 32.155000, 248.918000 at the Goodricke-Pigott Observatory.                  Orion Astroview 120ST EQ 120 mm aperture f/5 refractor, mounted on a Vixen ""Great Polaris Deluxe"" high precision equatorial mount and tripod instead of the standard mount. The mounting was equipped with the Vixen ""Sky Sensor 2000"" computer hand paddle and motor drive system which provided tracking and Go-To capability.          ",,
urn:nasa:pds:context:telescope:haute-provence.1m20,1.20-m Newtonian reflector,,"         The 1.20-m Newtonian reflector is a 1.20 m telescope located at 43.931751, 5.715694 at the Observatory of Haute-Provence.                  Operational 1943+; from Paris Obs.         ",,
urn:nasa:pds:context:telescope:hunters_hill.sct0m36,0.36-m SCT,,"         The 0.36-m SCT is a 36 cm telescope located at -35.162472, 148.110000 at the Hunters Hill Observatory.                  0.36-m Schmidt Cassegrain with MEade f3.3 focal reducer         ",,
urn:nasa:pds:context:telescope:irtf-maunakea.3m2,IRTF 3.2m,,"A 3.2-meter telescope optimized for use in infrared astronomy and located on Mauna Kea in Hawaii.              It was first built to support the Voyager missions and is now the US national facility for infrared astronomy, providing              continued support to planetary, solar neighborhood, and deep space applications. The IRTF is operated by the University              of Hawaii under a cooperative agreement with NASA. According to the IRTF's time allocation rules, at least 50% of the              observing time is devoted to planetary science.                          The IRTF is a 3.2 m classical Cassegrain telescope. The Cassegrain focus f/ratio is f/38 and the             primary mirror f/ratio is 2.5. Several aspects of the design of IRTF are optimized for IR observations. The secondary mirror              is undersized to prevent the instrument from seeing the thermal emission from the telescope structure around the primary mirror.              The primary mirror itself is 126"" in diameter, but only the center 118"" is used. A small mirror in the center of the secondary              mirror prevents the instrument from seeing its own thermal emission. The f/ratio is long to have a small secondary mirror,              again to minimize the telescope's thermal emission. The mirror coatings are chosen to have minimal thermal emission. The emissivity              of the telescope is usually below 4%. The secondary mirror is mounted on a chopping mechanism to rapidly switch the pointing of              the telescope from target to sky at up to 4 Hz.                          The IRTF is mounted on a large English yoke equatorial mount. The mount is very stiff, reducing flexure and allowing for accurate              pointing of the telescope. Since the telescope is on an equatorial mount, the telescope can observe targets through the zenith without              concern for field rotation. The yoke mount prevents the telescope from pointing north of +69 degrees declination. Since the telescope             was primarily intended for planetary science, this restriction was considered to be acceptable. Since the telescope is on a heavy              mounting, it is relatively immune from vibration or wind shake.                          Telescope Limits Declination	The Hour Angle Limits                 +69:56:00                 -59:00:00	                  +/- 5:04:47                      ",,
urn:nasa:pds:context:telescope:jac.ukirt3m8,3.8-m UK Grubb-Parsons IR Cass. eq. reflector (UKIRT),,"         The 3.8-m UK Grubb-Parsons IR Cass. eq. reflector (UKIRT) is a 3.8 m telescope located at 19.822445, 204.529678 at the Joint Astronomy Centre.                  Operational 1978+; UK/Dutch telescope         ",,
urn:nasa:pds:context:telescope:keck.10m_keck1,10-m Keck I Ritchey-Chretien altazimuth reflector,,"         The 10-m Keck I Ritchey-Chretien altazimuth reflector is a 10 m telescope located at 19.825945, 204.525284 at the W.M. Keck Observatory.                  Instrument Host Overview ========================   The Keck I telescope began science operations in May, 1993.  It   was built through the W. M. Keck Foundation and is operated by the   California Association for Research in Astronomy which includes   the University of California, the California Institute of   Technology and the National Aeronautics and Space Administration.   The Keck I is located at the W. M. Keck Observatory near the   summit of Mauna Kea, Hawaii. The geodetic coordinates of the   telescope are:      Longitude    : 155d 28.4' W     Latitude     : +19d 49.6' N     Altitude:    : 4124m     Mean seeing  : about 0.5 arcseconds full-width-half-max in the                    K-band    The overview and location given here are reproduced from the   W. M. Keck Observatory web site, http://www2.keck.hawaii.edu/.   Telescope Properties --------------------   The primary mirror comprises 36 hexagonal segments.  Each segment   is 1.8 meters, measured across the corners.  The maximum diameter   of the primary mirror is 10.5 meters, and its focal length is 17.5   meters.    The telescope has 2 secondary mirrors.  The f/15 secondary mirror   forms a Richey Chretien system with the primary mirror.  It can be   used directly with an instrument mounted at the rear of the   support structure for the primary mirror or with a flat tertiary   mirror for a bent Cassegrain or Nasmyth focus.    The f/25 secondary mirror is used with the infrared instruments at   Keck I. The gold-plated mirror has a central hole to reduce the   reflection of radiation to the detector from beyond the edge of   the primary mirror or from the central obstruction for chop angles   up to +/-150 arcseconds. A chopping mechanism resides behind this   secondary mirror and does not obstruct the detector.  As the   chopping mechanism tilts, the image moves on the detector.  This   provides a way to rapidly center a target on the detector, then   chop to a nearby part of sky without moving the telescope. The   Keck Observatory website provides a tutorial for the chopping   mechanism,   http://www2.keck.hawaii.edu/inst/tools/chp/Chopping.html.    The optical features of the f/15 and f/25 secondary mirror are:                                   f/15   f/25                                  -----  ------     Focal length (m)           : 149.6  249.7     Scale (mm/arcsec)          : 0.725  1.211     Field diameter (arcmin)    : 20     10     Field diameter (mm)        : 870    727     Radius of curvature* (m)   : 2.14   0.82    The telescope properties given here are reproduced from the Keck   Telescope and Facility Instrument Guide, available at   http://www2.keck.hawaii.edu/observing/kecktelgde/ktelinstupdate.pdf.         ",,
urn:nasa:pds:context:telescope:keck.10m_keck2,10-m Keck II Ritchey-Chretien altazimuth reflector,,"         The 10-m Keck II Ritchey-Chretien altazimuth reflector is a 10 m telescope located at 19.826557, 204.525772 at the W.M. Keck Observatory.                  Operational 04/1996+; 36 1.8-m mirrors         ",,
urn:nasa:pds:context:telescope:kpno-mcmath-pierce-solar.main_1m61,McMath-Pierce Main Solar Telescope (1.61m),,"A 1.61-meter (5 ft 3 in) primary mirror, reflecting telescope fed by 2.03-meter heliostat, unobstructed. The telescope uses the heliostat              at the top of its main tower to direct the sun's light down a long shaft to the primary mirrors. The distinctive diagonal shaft continues underground,              where the telescope's primary mirror is located. Tip-tilt correction and low order wavefront correction is available with a number of portable optical benches.              These are primarily used with the Main spectrograph and the Solar Stellar spectrograph on the Main telescope, but due to their compact mounting they could be              used with other telescopes and instruments in the facility.                          The third mirror of the main telescope which sends the light down into the observing room can be moved above three different positions. Two of these have a              vacuum spectrograph beneath them, one of 18 meter deep and the other 4 meter deep with lower resolution but higher light throughput. These two spectrographs are              able to rotate to compensate for the rotation of the image caused by the use of a heliostat. The third position can only be equipped with a static optical table              with no image rotation correction and is therefore rarely used.         ",,
urn:nasa:pds:context:telescope:kpno.boller1m3,1.3-m Boller &amp; Chivens Cassegrain reflector,,"         The 1.3-m Boller &amp; Chivens Cassegrain reflector is a 1.3 m telescope located at 31.959583, 248.402283 at the Kitt Peak National Observatory.                  c.1965+         ",,
urn:nasa:pds:context:telescope:kpno.corning2m13,2.13-m Corning Cassegrain/Coude reflector,,"         The 2.13-m Corning Cassegrain/Coude reflector is a 2.13 m telescope located at 31.958113, 248.402344 at the Kitt Peak National Observatory.                  Operational 09/1964+         ",,
urn:nasa:pds:context:telescope:kpno.mayall4m,4-m Mayall Ritchey-Chretien equatorial reflector,,"         The 4-m Mayall Ritchey-Chretien equatorial reflector is a 4 m telescope located at 31.963972, 248.400658 at the Kitt Peak National Observatory.                  Operational 02/1973+         ",,
urn:nasa:pds:context:telescope:kuiper-airborne.0m91,0.91m Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:las_campanas.ireneedupont_2m5,Irenee du Pont 2.5m Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:las_campanas.magellan_baade_6m5,Walter Baade Telescope at Las Campanas Observatory,,"             The Walter Baade telescope is one of a twin pair (with the Landon T. Clay)             located on Cerro Manqui at Las Campanas Observatory. The primary mirror is             an f/1.25 parabaloid with a honeycomb internal structure to reduce weight.             The telescope optics include active controls, including correction of              low-order aberrations by controlling the figure of the primary mirror.         ",,
urn:nasa:pds:context:telescope:las_campanas.magellan_clay_6m5,Landon T. Clay Telescope at Las Campanas Observatory,,"             The Landon T. Clay telescope is one of a twin pair (with the Walter Baade)             located on Cerro Manqui at Las Campanas Observatory. The primary mirror is             an f/1.25 parabaloid with a honeycomb internal structure to reduce weight.             The telescope optics include active controls, including correction of              low-order aberrations by controlling the figure of the primary mirror.         ",,
urn:nasa:pds:context:telescope:las_campanas.swope_1m0,Swope 1.0m Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:las_cumbres.0m4_telescopes,Las Cumbres Global Telescope Network - 0.4m Telescopes,,"             The 40cm telescopes of the Las Cumbres global network are built to be identical. They are             Meade 16-inch (40cm), 3-element optics telescopes mounted in LCO equatorial C-ring mountings.             Users should consult the data product documentation to determine which telescope was used to              record any specific observation when that information is needed.         ",,
